,precinct,candidates,location,address
0,MINNEAPOLIS W-3 P-03,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",MARCY OPEN SCHOOL,"415 4TH AVE SE MINNEAPOLIS, MN 55414"
1,MINNEAPOLIS W-3 P-02,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",FIRST CONGREGATIONAL CHURCH OF MN,"500 8TH AVE SE MINNEAPOLIS, MN 55414"
2,MINNEAPOLIS W-2 P-05,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",PRATT COMMUNITY SCHOOL,"66 MALCOLM AVE SE MINNEAPOLIS, MN 55414"
3,MINNEAPOLIS W-3 P-01,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",UNIVERSITY LUTHERAN CHURCH OF HOPE (3-1),"601 13TH AVE SE MINNEAPOLIS, MN 55414"
4,MINNEAPOLIS W-3 P-13,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",UNIVERSITY LUTHERAN CHURCH OF HOPE (3-13),"601 13TH AVE SE MINNEAPOLIS, MN 55414"
5,MINNEAPOLIS W-2 P-04,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",WEISMAN ART MUSEUM,"333 RIVER PKWY E MINNEAPOLIS, MN 55455"
6,MINNEAPOLIS W-2 P-03,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",VAN CLEVE PARK (2-3),"901 15TH AVE SE MINNEAPOLIS, MN 55414"
7,MINNEAPOLIS W-1 P-07,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",VAN CLEVE PARK (1-7),"901 15TH AVE SE MINNEAPOLIS, MN 55414"
8,MINNEAPOLIS W-2 P-06,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",ST FRANCES CABRINI CHURCH,"1500 FRANKLIN AVE SE MINNEAPOLIS, MN 55414"
